,states
0,West Virginia
1,Arizona
2,Tennessee
3,Utah
4,Connecticut
5,Rhode Island
6,Missouri
7,Kansas
8,Montana
9,Mississippi
10,Iowa
11,New Hampshire
12,Georgia
13,Minnesota
14,Nevada
15,Delaware
16,Texas
17,Indiana
18,Ohio
19,Kentucky
20,Colorado
21,New York
22,California
23,Oklahoma
24,Illinois
25,Wisconsin
26,North Dakota
27,Vermont
28,Massachusetts
29,Florida
30,Nebraska
31,Wyoming
32,Maine
33,New Mexico
34,Hawaii
35,Washington
36,Michigan
37,New Jersey
38,Pennsylvania
39,North Carolina
40,South Dakota
41,Virginia
42,Maryland
43,Oregon
44,Idaho
45,South Carolina
46,Louisiana
